"row ID","Document","Sentence","Number of terms","Pre-processed"
"Row4934","""Inclusive ARVR accessibility barriers immersive technologies""","113–120 neurodiversity leveraging insights developmental cognitive 

 Peck TC McMullen KA Quarles J DiVRsify break neuroscience build innovative practice",18,"113–120 neurodiversity leveraging insights developmental cognitive 

 peck tc mcmullen ka quarles j divrsify break neuroscience build innovative practice"
"Row4935","""Inclusive ARVR accessibility barriers immersive technologies""","Brain Sci",2,"brain sci"
"Row4936","""Inclusive ARVR accessibility barriers immersive technologies""","12cycle develop VR",4,"12cycle develop vr"
"Row4937","""Inclusive ARVR accessibility barriers immersive technologies""","IEEE Comput",2,"ieee comput"
"Row4938","""Inclusive ARVR accessibility barriers immersive technologies""","Graph",1,"graph"
"Row4939","""Inclusive ARVR accessibility barriers immersive technologies""","Appl",1,"appl"
"Row4940","""Inclusive ARVR accessibility barriers immersive technologies""","416133–142",2,"416133–142"
"Row4941","""Inclusive ARVR accessibility barriers immersive technologies""","Gupta T Sisodia M Fazulbhoy S Raju M Agrawal S",10,"gupta t sisodia m fazulbhoy s raju m agrawal s"
"Row4942","""Inclusive ARVR accessibility barriers immersive technologies""","Samaraweera G Guo R Quarles J Latency avatars vir- Improving accessibility dyslexic impairments using aug-
tual environments effects gait persons mobility mented reality",23,"samaraweera g guo r quarles j latency avatars vir- improving accessibility dyslexic impairments using aug-
tual environments effects gait persons mobility mented reality"
"Row4943","""Inclusive ARVR accessibility barriers immersive technologies""","International Conference Computer 
impairments",4,"international conference computer 
impairments"
"Row4944","""Inclusive ARVR accessibility barriers immersive technologies""","IEEE Symposium 3D User Interface  Communication Informatics ICCCI pp",9,"ieee symposium 3d user interface  communication informatics iccci pp"
"Row4945","""Inclusive ARVR accessibility barriers immersive technologies""","1–4",1,"1–4"
"Row4946","""Inclusive ARVR accessibility barriers immersive technologies""","IEEEACM 
3DUI 2013–Proceedings pp",4,"ieeeacm 
3dui 2013–proceedings pp"
"Row4947","""Inclusive ARVR accessibility barriers immersive technologies""","23–30 Transactions Accessible Computing TACCESS",5,"23–30 transactions accessible computing taccess"
"Row4948","""Inclusive ARVR accessibility barriers immersive technologies""","Kreimeier J Karg P Götzelmann T BlindWalkVR Formative",8,"kreimeier j karg p götzelmann t blindwalkvr formative"
"Row4949","""Inclusive ARVR accessibility barriers immersive technologies""","Thelijjagoda S Chandrasiri M Hewathudalla D Ranasinghe 
insights blind visually impaired people’s VR locomotion P Wickramanayake I Hope Interactive Mobile Solu-
using commercially available approaches",25,"thelijjagoda s chandrasiri m hewathudalla d ranasinghe 
insights blind visually impaired people’s vr locomotion p wickramanayake i hope interactive mobile solu-
using commercially available approaches"
"Row4950","""Inclusive ARVR accessibility barriers immersive technologies""","ACM International tion Overcome Writing Reading Speaking Weaknesses 
Conference Proceeding Series pp",12,"acm international tion overcome writing reading speaking weaknesses 
conference proceeding series pp"
"Row4951","""Inclusive ARVR accessibility barriers immersive technologies""","213–220 Dyslexia",2,"213–220 dyslexia"
"Row4952","""Inclusive ARVR accessibility barriers immersive technologies""","14th International Conference Computer 

8 Mozumder MAI Sheeraz MM Athar A Aich S Kim Science  Education ICCSE pp",18,"14th international conference computer 

8 mozumder mai sheeraz mm athar a aich s kim science  education iccse pp"
"Row4953","""Inclusive ARVR accessibility barriers immersive technologies""","808–813",1,"808–813"
"Row4954","""Inclusive ARVR accessibility barriers immersive technologies""","IEEE",1,"ieee"
"Row4955","""Inclusive ARVR accessibility barriers immersive technologies""","25th Pan-
HC Overview technology roadmap future trend Hellenic Conference Informatics pp",12,"25th pan-
hc overview technology roadmap future trend hellenic conference informatics pp"
"Row4956","""Inclusive ARVR accessibility barriers immersive technologies""","323–327metaverse based IoT blockchain AI technique medical  34",9,"323–327metaverse based iot blockchain ai technique medical  34"
"Row4957","""Inclusive ARVR accessibility barriers immersive technologies""","Hutama BAA Sihwi SW Salamah U Kinect based therapy 
domain metaverse activity",12,"hutama baa sihwi sw salamah u kinect based therapy 
domain metaverse activity"
"Row4958","""Inclusive ARVR accessibility barriers immersive technologies""","24th International Conference games overcome misperception people dysgraphia using 
Advanced Communication Technology ICACT IEEE pp",15,"24th international conference games overcome misperception people dysgraphia using 
advanced communication technology icact ieee pp"
"Row4959","""Inclusive ARVR accessibility barriers immersive technologies""","dynamic difficulty adjustment",3,"dynamic difficulty adjustment"
"Row4960","""Inclusive ARVR accessibility barriers immersive technologies""","IEEE International Con-
256–261 ference Computing ICOCO",8,"ieee international con-
256–261 ference computing icoco"
"Row4961","""Inclusive ARVR accessibility barriers immersive technologies""","IEEE pp",2,"ieee pp"
"Row4962","""Inclusive ARVR accessibility barriers immersive technologies""","230–235 Zhou F Duh HBL Billinghurst M Trends augmented",9,"230–235 zhou f duh hbl billinghurst m trends augmented"
"Row4963","""Inclusive ARVR accessibility barriers immersive technologies""","Abid M Bhimra MA Mubeen M Zahid AB Shahid 
reality tracking interaction display review ten S Peppy paper-based augmented reality application help 
ISMAR",23,"abid m bhimra ma mubeen m zahid ab shahid 
reality tracking interaction display review ten s peppy paper-based augmented reality application help 
ismar"
